ltla_name,ltla_code,latitude,longitude,start_date,end_date,dose,age_band,vaccines,population,percent_vaccine
Croydon,E09000008,51.36598,-0.07761,08/12/2020,07/03/2021,1st dose,80+,12739,14802,0.860626942
Ealing,E09000009,51.52443,-0.31407,08/12/2020,07/03/2021,1st dose,80+,10492,12405,0.845787989
Enfield,E09000010,51.64888,-0.08147,08/12/2020,07/03/2021,1st dose,80+,11415,12809,0.891170271
Greenwich,E09000011,51.46393,0.050107,08/12/2020,07/03/2021,1st dose,80+,6605,7939,0.831968762
Hackney,E09000012,51.55492,-0.06045,08/12/2020,07/03/2021,1st dose,80+,4151,5950,0.697647059
Hammersmith and Fulham,E09000013,51.48733,-0.21735,08/12/2020,07/03/2021,1st dose,80+,4186,5274,0.793704968
Haringey,E09000014,51.58771,-0.10667,08/12/2020,07/03/2021,1st dose,80+,5768,7158,0.805811679
Harrow,E09000015,51.59467,-0.33603,08/12/2020,07/03/2021,1st dose,80+,10616,11813,0.898670956
Havering,E09000016,51.56519,0.235368,08/12/2020,07/03/2021,1st dose,80+,12689,14470,0.876917761
Hillingdon,E09000017,51.53663,-0.44182,08/12/2020,07/03/2021,1st dose,80+,11054,12140,0.910543657
Hounslow,E09000018,51.46243,-0.37847,08/12/2020,07/03/2021,1st dose,80+,7668,8596,0.892042811
Islington,E09000019,51.54548,-0.10992,08/12/2020,07/03/2021,1st dose,80+,4274,5491,0.778364597
Kensington and Chelsea,E09000020,51.49644,-0.18976,08/12/2020,07/03/2021,1st dose,80+,4638,6494,0.714197721
Kingston upon Thames,E09000021,51.39296,-0.28367,08/12/2020,07/03/2021,1st dose,80+,6129,6990,0.876824034
Lambeth,E09000022,51.46445,-0.11385,08/12/2020,07/03/2021,1st dose,80+,5775,7466,0.773506563
Lewisham,E09000023,51.44231,-0.01733,08/12/2020,07/03/2021,1st dose,80+,6474,8037,0.805524449
Merton,E09000024,51.41057,-0.18867,08/12/2020,07/03/2021,1st dose,80+,6772,7421,0.912545479
Newham,E09000025,51.53147,0.027289,08/12/2020,07/03/2021,1st dose,80+,4823,6780,0.711356932
Redbridge,E09000026,51.58589,0.070071,08/12/2020,07/03/2021,1st dose,80+,9554,11007,0.867993095
Richmond upon Thames,E09000027,51.44035,-0.28914,08/12/2020,07/03/2021,1st dose,80+,7801,8440,0.9242891
Southwark,E09000028,51.46592,-0.07306,08/12/2020,07/03/2021,1st dose,80+,5338,6976,0.765194954
Sutton,E09000029,51.35756,-0.17227,08/12/2020,07/03/2021,1st dose,80+,8402,9136,0.919658494
Tower Hamlets,E09000030,51.51554,-0.03643,08/12/2020,07/03/2021,1st dose,80+,3836,5249,0.730805868
Waltham Forest,E09000031,51.59461,-0.01881,08/12/2020,07/03/2021,1st dose,80+,6362,8376,0.759551098
Wandsworth,E09000032,51.4524,-0.20023,08/12/2020,07/03/2021,1st dose,80+,7325,8501,0.861663334
Westminster,E09000033,51.5122,-0.15295,08/12/2020,07/03/2021,1st dose,80+,5481,9004,0.608729454
Barking and Dagenham,E09000002,51.54555,0.129479,08/12/2020,07/03/2021,1st dose,Under 60,25611,127185,0.201368086
Barnet,E09000003,51.61108,-0.21821,08/12/2020,07/03/2021,1st dose,Under 60,58935,235415,0.250345135
Bexley,E09000004,51.45823,0.146227,08/12/2020,07/03/2021,1st dose,Under 60,30337,143188,0.211868313
